Cube0,-0.6606784,1.741438,3.105398,0.05910992
Cube0,-0.7053499,1.242288,3.123958,0.05278008
Cube0,-0.7233659,0.7462848,3.12184,0.01375541
Cube0,-0.7536278,0.2498671,3.165819,359.9933
Cube0,-2.139703,1.241028,-1.625434,0.297584
Cube0,-1.876798,0.2506064,-1.300359,0.4686262
Cube0,-1.837898,0.2509359,-2.000889,359.2528
Cube0,-2.045581,0.7442013,-1.621055,0.5148644
Cube0,-2.022529,1.736472,-1.61502,0.29867
Cube0,-4.751231,4.231462,0.5672761,0.002725219
Cube0,-2.027595,3.235403,-1.479609,358.8882
Cube1,-4.119514,0.2499999,0.6033049,9.122394
Cube1,-4.746885,0.7425665,-0.115905,243.7879
Cube1,-5.429599,1.241321,-0.0447904,322.4727
Cube1,-5.332359,1.736075,0.5170906,252.6208
Cube1,-4.767889,3.733171,0.0001641418,356.6628
Cube1,2.339524,0.7436326,0.2830991,88.93394
Cube1,1.629375,0.25,-0.05734668,359.9549
Cube1,2.35245,0.7441777,-0.6483954,94.92062
Cube1,2.78982,0.25,-0.1790375,359.955
Cube1,1.848957,1.243637,-0.1995675,359.9206
Cube1,2.877975,1.243635,-0.21582,359.8261
Cube1,2.323048,1.739073,-0.65277,93.92229
Cube1,2.47882,1.739666,0.2604314,91.86707
Cube1,1.960896,2.238982,-0.1742768,359.8296
Cube1,2.893086,2.239101,-0.2063172,359.9825
Cube1,2.274421,2.736768,0.3213676,273.8544
Cube1,2.404289,2.737174,-0.7241902,94.81841
Cube1,2.42975,3.23688,-0.2040822,6.893994
Cube1,-1.028509,1.747271,-6.273751,35.85903
Cube1,0.1120217,1.747271,-7.320777,46.78087
Cube1,-0.7440988,2.247271,-7.089909,136.2492
Cube1,-0.1516977,2.247271,-6.383276,330.8517
Cube2,2.340488,3.985616,-0.1942787,0.0001161132
Cube2,0.07594142,2.995471,-6.862448,-0.0001553868
Cube2,-0.3051885,2.995471,-7.510019,-7.000944E-05
Cube2,-1.221253,2.995999,-6.615767,-4.781133E-05
Cube2,-0.4277338,2.995999,-5.925695,0.0003790755
Cube2,-2.138234,2.48683,-1.597307,359.5392
Cube3,-4.834196,2.735262,0.6675077,352.5232
Cube3,0.5765586,0.75,-6.764112,359.6164
Cube3,-1.420849,0.75,-6.770888,0.795279
Cube3,-0.5773572,0.75,-7.655957,359.2029
Cube3,-0.6488261,0.75,-5.494514,0.1681731
Cube4,-0.6617743,2.83897,2.603229,0.04773118
